label_id,dialect,precision,recall,f1,support
0,BAR,0.9629629629629629,0.8,0.8739495798319328,65
1,CHI,0.9876543209876543,0.9876543209876543,0.9876543209876543,162
2,KHU,0.0,0.0,0.0,0
3,KIS,0.9807692307692307,0.9622641509433962,0.9714285714285714,159
4,MYM,0.0,0.0,0.0,0
5,NAR,0.963855421686747,0.9876543209876543,0.975609756097561,162
6,NOA,0.0,0.0,0.0,0
7,NSD,0.9553571428571429,0.9907407407407407,0.9727272727272728,108
8,RAJ,0.0,0.0,0.0,0
9,RAN,0.9907407407407407,0.9907407407407407,0.9907407407407407,108
10,STD,0.0,0.0,0.0,0
11,SYL,0.9964028776978417,0.9787985865724381,0.9875222816399287,283
12,TAN,0.9619047619047619,0.9711538461538461,0.9665071770334929,104
