candidate_id,family,corpus,requested_vocab_size,actual_vocab_size,rows,tokens,characters,bytes,unk_tokens,tokens_per_character,tokens_per_byte,mean_fertility,p95_tokens,roundtrip_exact_rate,canonical_roundtrip_exact_rate,unk_rate,worst_dialect_tokens_per_character,best_dialect_tokens_per_character,dialect_cost_ratio,dialect_cost_gini,dialect_cost_std,intrinsic_score,passes_hard_gates,elapsed_seconds,tokenizer_sha256,proxy_shortlisted
wordpiece_natural_32k,wordpiece_natural,natural,32000,32000,10853.0,77216.0,343947.0,922766.0,1.0,0.22449970489639393,0.08367885249348156,1.2414205424248776,15.0,0.68911821616143,0.9962222426978715,1.2950683796104434e-05,0.23483467846914866,0.20195611948189268,1.1628005087026039,0.027592671636810315,0.01064334605221036,0.36868869429919027,True,0.3189208507537842,0b7ed9de33aedc6c6271a7b8e7b6317d86f22a2f4a0f9c3a7d3fb3723245d512,True
wordpiece_balanced_32k,wordpiece_balanced,balanced,32000,32000,10853.0,78019.0,343947.0,922766.0,1.0,0.22683436692281078,0.0845490622758099,1.2532628611056593,16.0,0.68911821616143,0.9962222426978715,1.2817390635614402e-05,0.2384148702723635,0.2027491408934708,1.175910631343352,0.02969923556133535,0.011469776916863057,0.37354336859549675,True,0.3218958377838135,6cd3679c2ab533cb5036e40600ce83194723e9eb3efb9e924187a65f37c6033c,True
wordpiece_natural_24k,wordpiece_natural,natural,24000,24000,10853.0,79273.0,343947.0,922766.0,1.0,0.23048027748461244,0.08590802001807608,1.2745535115620363,16.0,0.68911821616143,0.9962222426978715,1.2614635500107224e-05,0.2406092681037821,0.20777160983346551,1.1580468972475924,0.02689189563522868,0.010700359943724291,0.37363721996980864,True,0.33838462829589844,5d77b2397328f1f00855a48ad96689ce4a7e55a46b25785759e6c5b7585d4dfe,False
wordpiece_balanced_24k,wordpiece_balanced,balanced,24000,24000,10853.0,80042.0,343947.0,922766.0,1.0,0.23271608707155464,0.08674138405619626,1.2861441692312094,16.0,0.68911821616143,0.9962222426978715,1.249344094350466e-05,0.24501419904479152,0.20612841447434735,1.1886483465639983,0.030751661369532137,0.01211708428716245,0.3793915876827759,True,0.3172898292541504,e376ca1c79b341971f2dce61cb5e2f351997be39a526f81b90b8776c6981f587,False
wordpiece_natural_16k,wordpiece_natural,natural,16000,16000,10853.0,82879.0,343947.0,922766.0,1.0,0.2409644509183101,0.08981583630086068,1.333859231892526,17.0,0.68911821616143,0.9962222426978715,1.2065782646991397e-05,0.25124241641925904,0.21332275971451228,1.1777572011326605,0.027383349970359534,0.011633477377863953,0.3860303891822345,True,0.3337225914001465,cd2ab142e45863058be10c4f203292b60f5cc138bb7c9ec362c440e3aa39c668,False
unigram_balanced_32k,unigram_balanced,balanced,32000,32000,10853.0,81971.0,343947.0,922766.0,1.0,0.23832450929939789,0.08883183819083061,1.3138589068578848,16.399999999999636,0.9999078595779969,0.9999078595779969,1.2199436386038964e-05,0.2499349127831294,0.21560326579981856,1.1592352827122145,0.02440310490398299,0.010301588791360776,0.38731919523545105,True,0.44761157035827637,7b4500295aca52170a7953e3bc108890101406bf90ce34e9b24e3db157dded93,True
unigram_balanced_24k,unigram_balanced,balanced,24000,24000,10853.0,83297.0,343947.0,922766.0,1.0,0.24217975443891065,0.0902688222149494,1.3366924733868217,17.0,0.9999078595779969,0.9999078595779969,1.2005234282147016e-05,0.25227805259047126,0.2163088398346941,1.1662863745340473,0.025815266552108085,0.011018721664556655,0.38912347885636767,True,0.419025182723999,fb78129078ea9d30ddd9dc7accd616cf3ce90be998ddd52e1604a7489e67a0e9,False
wordpiece_balanced_16k,wordpiece_balanced,balanced,16000,16000,10853.0,83458.0,343947.0,922766.0,1.0,0.2426478498140702,0.0904432976507587,1.341998008196481,17.0,0.68911821616143,0.9962222426978715,1.1982074816075152e-05,0.2552439654059636,0.21217619191613749,1.2029811785237838,0.031026574572735492,0.012775462431292873,0.3909087722895252,True,0.317476749420166,3e15e32e745dd03824e98db6b00eb785fd0702adf0fad89ca083d05f58a91a38,False
unigram_balanced_16k,unigram_balanced,balanced,16000,16000,10853.0,85878.0,343947.0,922766.0,1.0,0.24968381756491553,0.09306584767969345,1.3801974803579058,17.0,0.9999078595779969,0.9999078595779969,1.1644425813363144e-05,0.25808377436427005,0.21892954339280316,1.1788439804180124,0.02858143812713365,0.01256809357507277,0.39685026852893784,True,0.38727402687072754,fdd3cc49bc4ac5ca410e3384bc4d991e0f09a486f70c6b3504e3056861015bcf,False
byte_bpe_balanced_16k,byte_bpe_balanced,balanced,16000,7240,10853.0,235914.0,343947.0,922766.0,0.0,0.6859021884185645,0.2556596146802115,3.726235355076593,48.0,1.0,1.0,0.0,0.7150879820292025,0.6733606557377049,1.0619687621127536,0.00796843695844834,0.010292649376082147,1.0514052010167985,True,0.4766826629638672,1e63ff1d88cfae676bb26222df794355270e76f857c036df4a78b008f03c1c0d,True
