candidate_id,seed,vocab_size,total_parameters,active_parameters_per_token,inactive_expert_parameters_per_token,active_fraction,training_tokens,training_steps,mean_training_loss,training_seconds,training_tokens_per_second,peak_memory_gib,validation_rows,validation_nll,validation_predicted_tokens,validation_characters,validation_nll_per_token,validation_perplexity,validation_bits_per_character,validation_worst_dialect_bpc,validation_best_dialect_bpc,validation_dialect_bpc_range
wordpiece_natural_32k,1701,32000,12914688,12914688,0,1.0,2000128,245,7.37320583109953,27.454782030996284,72851.71660594018,4.341004848480225,2375.0,131401.59061527252,18035.0,71174.0,7.285921298323955,1459.605245463948,2.663506661780642,2.8812169263978236,2.3960284177752746,0.4851885086225489
wordpiece_natural_32k,2903,32000,12914688,12914688,0,1.0,2000128,245,7.37861006989771,26.61337073901086,75155.00458828158,4.341004848480225,2375.0,130732.95695590973,18035.0,71174.0,7.248847072686982,1406.4823411616758,2.649953475722051,2.860647353459465,2.3798791573102682,0.48076819614919675
wordpiece_natural_32k,4307,32000,12914688,12914688,0,1.0,2000128,245,7.3623814777452115,26.65779802799807,75029.75294130864,4.341004848480225,2375.0,131551.06867694855,18035.0,71174.0,7.294209519098894,1471.7530482778095,2.6665365780183374,2.884020352141609,2.3910739151904474,0.49294643695116136
wordpiece_balanced_32k,1701,32000,12914688,12914688,0,1.0,2000128,245,7.368613075723453,27.57448003499303,72535.4747383002,4.341004848480225,2375.0,131584.56739330292,18062.0,71174.0,7.2851604137583275,1458.4950767694384,2.667215596086179,2.8871055223646493,2.4124309241688056,0.4746745981958438
wordpiece_balanced_32k,2903,32000,12914688,12914688,0,1.0,2000128,245,7.368520579046133,28.01932988499175,71383.86279078526,4.340638637542725,2375.0,131498.67433547974,18062.0,71174.0,7.280404957118798,1451.5757320345374,2.66547454614423,2.902870922082911,2.4073341724368764,0.49553674964603456
wordpiece_balanced_32k,4307,32000,12914688,12914688,0,1.0,2000128,245,7.350205374737175,28.045511721007642,71317.22251663511,4.341126918792725,2375.0,131719.00487232208,18062.0,71174.0,7.292603525208841,1469.391318843746,2.669940640123195,2.8795661272726236,2.4089860189992325,0.47058010827339114
unigram_balanced_32k,1701,32000,12914688,12914688,0,1.0,2000128,245,7.206129823412214,27.93153613100003,71608.23488616305,4.340882778167725,2375.0,136195.72795581818,19015.0,71174.0,7.162541570119283,1290.1858672538826,2.7606836950588876,2.9652163477760167,2.485122306988746,0.4800940407872707
unigram_balanced_32k,2903,32000,12914688,12914688,0,1.0,2000128,245,7.211087281363351,26.86023518300499,74464.27726237934,4.340882778167725,2375.0,135445.92509746552,19015.0,71174.0,7.1231093924515125,1240.3010265101973,2.745485211548199,2.9394276288685397,2.4824024283804524,0.45702520048808726
unigram_balanced_32k,4307,32000,12914688,12914688,0,1.0,2000128,245,7.204854679107666,27.641442313994048,72359.75522838018,4.341248989105225,2375.0,135097.8058567047,19015.0,71174.0,7.104801780526149,1217.8006690006537,2.7384288440223656,2.9506069368045567,2.456437277033807,0.49416965977074945
byte_bpe_balanced_16k,1701,7240,6576128,6576128,0,1.0,2000128,245,3.8296404887218864,13.09832815300615,152701.0147123973,1.6254496574401855,2375.0,167286.8403301239,51292.0,71174.0,3.261460663068781,26.087614541736688,3.390899695819451,3.6155306959889706,3.1655683360801583,0.4499623599088123
byte_bpe_balanced_16k,2903,7240,6576128,6576128,0,1.0,2000128,245,3.805462665947116,13.059967180990498,153149.54258930273,1.6283278465270996,2375.0,166882.45373630524,51292.0,71174.0,3.2535766539870785,25.882748196996502,3.3827027905801197,3.5951819470256403,3.164388327535956,0.4307936194896844
byte_bpe_balanced_16k,4307,7240,6576128,6576128,0,1.0,2000128,245,3.8235139613248865,12.98277028099983,154060.18566986197,1.6274733543395996,2375.0,166185.54172325134,51292.0,71174.0,3.2399895056393073,25.53345378867171,3.368576403062644,3.56936737549607,3.159971774650605,0.4093956008454649
